reference,comparison,variable,variable_type,reference_mean,comparison_mean,mean_delta,reference_missing_rate,comparison_missing_rate,missing_rate_delta,standardized_mean_difference,wasserstein_distance,wasserstein_over_clean_sd,ks_statistic,prevalence_delta,bernoulli_js_divergence,absolute_effect
clean,hidden_confounder,age,continuous,65.81977857142859,65.81977857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,alcohol_use,binary,0.129,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,baseline_alt_ast,continuous,24.89476428571429,24.89476428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,baseline_egfr,continuous,74.49969285714286,74.49969285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,baseline_mood_vulnerability,binary,0.11507142857142857,0.11507142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,baseline_potassium,continuous,4.269931428571429,4.269931428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,baseline_qt_risk,binary,0.06907142857142858,0.06907142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,baseline_sodium,continuous,138.95499285714286,138.95499285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,ckd,binary,0.09121428571428572,0.09121428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,depression_history,binary,0.12007142857142857,0.12007142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,diabetes,binary,0.17085714285714285,0.17085714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,frailty,binary,0.03578571428571429,0.03578571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,heart_failure,binary,0.08185714285714285,0.08185714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,infection,binary,0.08292857142857143,0.08292857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,liver_disease,binary,0.06092857142857143,0.06092857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,monitoring_intensity,continuous,0.38979985714285714,0.38979985714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,polypharmacy_burden,count,4.926785714285714,4.926785714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
clean,hidden_confounder,sex_female,binary,0.5417142857142857,0.5417142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,acei_arb,binary,0.5342857142857143,0.5342857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,aminoglycoside,binary,0.06664285714285714,0.06664285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,antibiotic_hepatic_risk,binary,0.2077142857142857,0.2077142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,anticholinergic,binary,0.15492857142857142,0.15492857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,anticoagulant,binary,0.2725,0.2725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,antiplatelet,binary,0.29714285714285715,0.29714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,benzodiazepine,binary,0.1972142857142857,0.1972142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,beta_blocker,binary,0.32785714285714285,0.32785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,contrast_agent,binary,0.18292857142857144,0.18292857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,corticosteroid,binary,0.17064285714285715,0.17064285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,diuretic,binary,0.44471428571428573,0.44471428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,hepatotoxic_drug_A,binary,0.10692857142857143,0.10692857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,herbal_exposure,binary,0.15214285714285714,0.15214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,nsaid,binary,0.2615,0.2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,opioid,binary,0.1707142857142857,0.1707142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,ppi,binary,0.382,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,qt_prolonging_drug,binary,0.1362857142857143,0.1362857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,snri,binary,0.10792857142857143,0.10792857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,ssri,binary,0.25671428571428573,0.25671428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,thiazide,binary,0.19257142857142856,0.19257142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,valproate_like_drug,binary,0.07892857142857143,0.07892857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,anticholinergic_burden,binary,0.0945,0.0945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,cardiac_repolarization_delay,binary,0.17842857142857144,0.17842857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,cholestatic_pattern,binary,0.11064285714285714,0.11064285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,cns_sedation,binary,0.15614285714285714,0.15614285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,coagulation_impairment,binary,0.15121428571428572,0.15121428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,electrolyte_disturbance,binary,0.09028571428571429,0.09028571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,fatigue_pathway,binary,0.09742857142857143,0.09742857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,gastric_mucosal_injury,binary,0.10328571428571429,0.10328571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,gastric_protection,binary,0.11178571428571428,0.11178571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,hepatic_metabolic_stress,binary,0.13785714285714284,0.13785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,hepatocellular_injury,binary,0.07657142857142857,0.07657142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,monoamine_disruption,binary,0.08242857142857143,0.08242857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,hidden_confounder,nephrotoxic_stress,binary,0.12228571428571429,0.12228571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
